ORI,AGENCY_NAME
CA0010000,ALAMEDA SD
CA0010100,ALAMEDA PD
CA001013A,ALAMEDA CO DISTRICT ATTORNEYS OFFICE
CA001013G,ALAMEDA CO PROBATION DEPARTMENT
CA0010200,ALBANY PD
CA0010300,BERKELEY PD
CA0010400,EMERYVILLE PD
CA0010500,FREMONT PD
CA0010600,HAYWARD PD
CA0010700,LIVERMORE PD
CA0010800,NEWARK PD
CA0010900,OAKLAND PD
CA0011000,PIEDMONT PD
CA0011100,PLEASANTON PD
CA0011200,SAN LEANDRO PD
CA0011300,UNION CITY PD
CA0011400,EAST BAY REGNL PARK DIST PD
CA0011500,CSU EAST BAY
CA0012100,BART-ALAMEDA CO
CA0013300,OAKLAND HOUSING AUTHORITY PD
CA0019700,UC BERKELEY
CA0020000,ALPINE SO
CA0030000,AMADOR SD
CA003013A,AMADOR CO DISTRICT ATTORNEYS OFFICE
CA003013G,AMADOR COUNTY PROBATION DEPARTMENT
CA0030200,IONE PD
CA0030300,JACKSON PD
CA0030500,SUTTER CREEK PD
CA0040000,BUTTE SD
CA004013A,BUTTE COUNTY DISTRICT ATTORNEYS OFFICE
CA004013G,BUTTE COUNTY PROBATION DEPARTMENT
CA0040200,CHICO PD
CA0040300,GRIDLEY PD
CA0040400,OROVILLE PD
CA0040500,PARADISE PD
CA0041100,BUTTE COLLEGE PD
CA0049700,CSU CHICO
CA0050000,CALAVERAS SD
CA0050100,ANGELS CAMP PD
CA005023A,CALAVERAS COUNTY DISTRICT ATTORNEYS OFFICE
CA0060000,COLUSA SD
CA0060100,COLUSA PD
CA006013A,COLUSA COUNTY DISTRICT ATTORNEY
CA006013G,COLUSA COUNTY PROBATION DEPARTMENT
CA0060200,WILLIAMS PD
CA0070000,CONTRA COSTA SD
CA0070100,ANTIOCH PD
CA007013G,CONTRA COSTA COUNTY PROBATION
CA0070200,BRENTWOOD PD
CA0070300,CLAYTON PD
CA0070400,CONCORD PD
CA0070500,EL CERRITO PD
CA0070600,HERCULES PD
CA0070700,PINOLE PD
CA0070800,PITTSBURG PD
CA0070900,PLEASANT HILL PD
CA0071000,RICHMOND PD
CA0071100,SAN PABLO PD
CA0071200,WALNUT CREEK PD
CA0071300,KENSINGTON PD
CA0071400,MARTINEZ PD
CA0072100,CONTRA COSTA COMM COLLEGE PD
CA0073400,OAKLEY PD
CA0074000,SAN RAMON PD
CA0080000,DEL NORTE SD
CA0080100,CRESCENT CITY PD
CA008013G,DEL NORTE COUNTY PROBATION
CA0090000,EL DORADO SD
CA0090100,PLACERVILLE PD
CA009013A,EL DORADO COUNTY DISTRICT ATTORNEY
CA009013G,EL DORADO CO PROBATION DEPARTMENT
CA0090200,SOUTH LAKE TAHOE PD
CA0100000,FRESNO SD
CA0100100,CLOVIS PD
CA010013G,FRESNO CO PROBATION DEPARTMENT
CA010015M,COALINGA STATE HOSPITAL
CA0100200,COALINGA PD
CA010023A,FRESNO COUNTY DISTRICT ATTORNEYS OFFICE
CA0100300,FIREBAUGH PD
CA0100400,FOWLER PD
CA0100500,FRESNO PD
CA0100600,HURON PD
CA0100700,KERMAN PD
CA0100800,KINGSBURG PD
CA0100900,MENDOTA PD
CA0101000,ORANGE COVE PD
CA0101100,PARLIER PD
CA0101200,REEDLEY PD
CA0101300,SANGER PD
CA0101500,SELMA PD
CA0101700,STATE CENTER COMMUNITY COLLEGE COLLEGE DISTRICT  PD
CA0103500,CLOVIS USD PD
CA0109700,CSU FRESNO
CA0110000,GLENN SD
CA0110100,ORLAND PD
CA011013G,GLENN COUNTY PROBATION
