County,Agency,Sworn,Reserve,Dispatcher,Total
ALAMEDA COUNTY,ALAMEDA CO SD/CORONER,949,23,32,1004
ALAMEDA COUNTY,ALAMEDA PD,82,0,14,96
ALAMEDA COUNTY,ALAMEDA/CONTRA COSTA TRANSIT,1,0,0,1
ALAMEDA COUNTY,ALBANY PD,23,3,6,32
ALAMEDA COUNTY,BAY AREA RAPID TRANSIT PD,186,0,17,203
ALAMEDA COUNTY,BERKELEY PD,168,20,29,217
ALAMEDA COUNTY,CSU EAST BAY PD,14,0,6,20
ALAMEDA COUNTY,EAST BAY REG PARK DPS,55,3,15,73
ALAMEDA COUNTY,EMERYVILLE PD,36,0,15,51
ALAMEDA COUNTY,FREMONT PD,176,10,27,213
ALAMEDA COUNTY,HAYWARD PD,176,26,29,231
ALAMEDA COUNTY,LIVERMORE PD,83,7,21,111
ALAMEDA COUNTY,MORAGA PD,12,4,0,16
ALAMEDA COUNTY,NEWARK PD,56,3,12,71
ALAMEDA COUNTY,OAKLAND CITY HOUSING AUTH PD,36,4,0,40
ALAMEDA COUNTY,OAKLAND PD,626,12,70,708
ALAMEDA COUNTY,OAKLAND USD PD,14,0,0,14
ALAMEDA COUNTY,OHLONE CCD PD,2,0,0,2
ALAMEDA COUNTY,PIEDMONT PD,18,5,7,30
ALAMEDA COUNTY,PLEASANTON PD,80,1,16,97
ALAMEDA COUNTY,SAN LEANDRO PD,89,0,14,103
ALAMEDA COUNTY,UC BERKELEY PD,69,0,8,77
ALAMEDA COUNTY,UNION CITY PD,74,2,13,89
ALPINE COUNTY,ALPINE CO SD,15,0,0,15
AMADOR COUNTY,AMADOR CO DA,8,0,0,8
AMADOR COUNTY,AMADOR CO SD/CORONER,46,3,11,60
AMADOR COUNTY,IONE PD,5,1,0,6
AMADOR COUNTY,JACKSON PD,9,9,1,19
AMADOR COUNTY,SUTTER CREEK PD,5,5,0,10
BUTTE COUNTY,BUTTE CCD PD,5,0,0,5
BUTTE COUNTY,BUTTE CO DA,22,0,0,22
BUTTE COUNTY,BUTTE CO SD/CORONER,98,33,16,147
BUTTE COUNTY,CHICO PD,89,1,21,111
BUTTE COUNTY,CSU CHICO PD,15,0,6,21
BUTTE COUNTY,GRIDLEY PD,16,7,7,30
BUTTE COUNTY,OROVILLE PD,23,4,12,39
BUTTE COUNTY,PARADISE PD,22,0,10,32
CALAVERAS COUNTY,ANGELS CAMP PD,6,1,0,7
CALAVERAS COUNTY,CALAVERAS CO DA,2,0,0,2
CALAVERAS COUNTY,CALAVERAS CO SD,50,5,11,66
COLUSA COUNTY,COLUSA CO DISTRICT ATTORNEY,2,0,0,2
COLUSA COUNTY,COLUSA COUNTY SD,33,1,9,43
COLUSA COUNTY,COLUSA PD,8,0,0,8
COLUSA COUNTY,WILLIAMS PD,11,2,0,13
CONTRA COSTA COUNTY,ANTIOCH PD,89,4,20,113
CONTRA COSTA COUNTY,BRENTWOOD PD,59,0,0,59
CONTRA COSTA COUNTY,CLAYTON PD,11,1,0,12
CONTRA COSTA COUNTY,CONCORD PD,143,11,21,175
CONTRA COSTA COUNTY,CONTRA COSTA CCD PD,22,0,0,22
CONTRA COSTA COUNTY,CONTRA COSTA CO DA,20,0,0,20
CONTRA COSTA COUNTY,CONTRA COSTA CO SD/CORONER,613,53,45,711
CONTRA COSTA COUNTY,EL CERRITO PD,41,10,0,51
CONTRA COSTA COUNTY,HERCULES PD,19,3,0,22
CONTRA COSTA COUNTY,KENSINGTON PD,9,2,0,11
CONTRA COSTA COUNTY,MARTINEZ PD,37,10,11,58
CONTRA COSTA COUNTY,PINOLE PD,23,0,8,31
CONTRA COSTA COUNTY,PITTSBURG PD,69,4,0,73
CONTRA COSTA COUNTY,PLEASANT HILL PD,37,5,8,50
CONTRA COSTA COUNTY,RICHMOND PD,186,2,25,213
CONTRA COSTA COUNTY,SAN PABLO PD,51,0,0,51
CONTRA COSTA COUNTY,SAN RAMON PD,56,0,0,56
CONTRA COSTA COUNTY,WALNUT CREEK PD,73,31,16,120
DEL NORTE COUNTY,CRESCENT CITY PD,12,5,0,17
