County,Agency,Full-Time Sworn,Reserve,Dispatcher,Total
ALAMEDA COUNTY,ALAMEDA CO SD/CORONER,1098,49,45,1192
ALAMEDA COUNTY,ALAMEDA PD,92,0,14,106
ALAMEDA COUNTY,ALAMEDA/CONTRA COSTA TRANSIT,1,0,0,1
ALAMEDA COUNTY,ALBANY PD,26,4,8,38
ALAMEDA COUNTY,BAY AREA RAPID TRANSIT PD,195,0,18,213
ALAMEDA COUNTY,BERKELEY PD,180,23,32,235
ALAMEDA COUNTY,CSU EAST BAY PD,13,0,5,18
ALAMEDA COUNTY,EAST BAY REG PARK DPS,57,2,15,74
ALAMEDA COUNTY,EMERYVILLE PD,38,0,15,53
ALAMEDA COUNTY,FREMONT PD,177,9,25,211
ALAMEDA COUNTY,HAYWARD PD,181,24,29,234
ALAMEDA COUNTY,LIVERMORE PD,91,6,20,117
ALAMEDA COUNTY,MORAGA PD,11,4,0,15
ALAMEDA COUNTY,NEWARK PD,54,3,11,68
ALAMEDA COUNTY,OAKLAND CITY HOUSING AUTH PD,19,2,0,21
ALAMEDA COUNTY,OAKLAND PD,809,12,68,889
ALAMEDA COUNTY,OHLONE CCD PD,3,0,0,3
ALAMEDA COUNTY,PIEDMONT PD,19,3,7,29
ALAMEDA COUNTY,PLEASANTON PD,85,2,18,105
ALAMEDA COUNTY,SAN LEANDRO PD,95,0,15,110
ALAMEDA COUNTY,UC BERKELEY PD,70,0,9,79
ALAMEDA COUNTY,UNION CITY PD,75,1,16,92
ALPINE COUNTY,ALPINE CO SD,16,1,1,18
AMADOR COUNTY,AMADOR CO DA,10,0,0,10
AMADOR COUNTY,AMADOR CO SD/CORONER,48,2,10,60
AMADOR COUNTY,IONE PD,5,4,0,9
AMADOR COUNTY,JACKSON PD,11,8,1,20
AMADOR COUNTY,SUTTER CREEK PD,7,4,0,11
BUTTE COUNTY,BUTTE CCD PD,3,0,0,3
BUTTE COUNTY,BUTTE CO DA,21,0,0,21
BUTTE COUNTY,BUTTE CO SD/CORONER,100,29,15,144
BUTTE COUNTY,CHICO PD,92,2,22,116
BUTTE COUNTY,CSU CHICO PD,17,0,7,24
BUTTE COUNTY,GRIDLEY PD,16,6,7,29
BUTTE COUNTY,OROVILLE PD,24,1,9,34
BUTTE COUNTY,PARADISE PD,24,0,11,35
CALAVERAS COUNTY,ANGELS CAMP PD,10,2,2,14
