County,Agency,Full-Time Sworn,Reserve,Dispatcher,Total
ALAMEDA COUNTY,ALAMEDA CO SD/CORONER,999,3,26,1028
ALAMEDA COUNTY,ALAMEDA PD,70,0,16,86
ALAMEDA COUNTY,ALBANY PD,24,0,9,33
ALAMEDA COUNTY,BAY AREA RAPID TRANSIT PD,206,0,17,223
ALAMEDA COUNTY,BERKELEY PD,145,12,23,180
ALAMEDA COUNTY,CSU EAST BAY PD,12,0,0,12
ALAMEDA COUNTY,EAST BAY REG PARK DPS,64,0,18,82
ALAMEDA COUNTY,EMERYVILLE PD,37,0,10,47
ALAMEDA COUNTY,FREMONT PD,157,8,33,198
ALAMEDA COUNTY,HAYWARD PD,156,23,36,215
ALAMEDA COUNTY,LIVERMORE PD,91,4,14,109
ALAMEDA COUNTY,NEWARK PD,46,0,13,59
ALAMEDA COUNTY,OAKLAND CITY HOUSING AUTH PD,26,2,8,36
ALAMEDA COUNTY,OAKLAND PD,665,4,78,747
ALAMEDA COUNTY,OHLONE CCD PD,2,0,3,5
ALAMEDA COUNTY,PIEDMONT PD,17,4,8,29
ALAMEDA COUNTY,PLEASANTON PD,76,0,18,94
ALAMEDA COUNTY,SAN LEANDRO PD,68,0,18,86
ALAMEDA COUNTY,UC BERKELEY PD,50,0,10,60
ALAMEDA COUNTY,UNION CITY PD,72,0,1,73
ALPINE COUNTY,ALPINE CO SO,14,3,0,17
AMADOR COUNTY,AMADOR CO DA,8,0,0,8
AMADOR COUNTY,AMADOR CO SO/CORONER,42,10,11,63
AMADOR COUNTY,IONE PD,10,1,0,11
AMADOR COUNTY,JACKSON PD,10,6,0,16
AMADOR COUNTY,SUTTER CREEK PD,4,2,0,6
BUTTE COUNTY,BUTTE CCD PD,4,0,0,4
BUTTE COUNTY,BUTTE CO DA,18,0,0,18
BUTTE COUNTY,BUTTE CO SO/CORONER,153,12,15,180
BUTTE COUNTY,CHICO PD,98,0,24,122
BUTTE COUNTY,CSU CHICO PD,19,0,5,24
BUTTE COUNTY,GRIDLEY PD,15,5,6,26
BUTTE COUNTY,OROVILLE PD,24,1,8,33
BUTTE COUNTY,PARADISE PD,20,0,7,27
CALAVERAS COUNTY,ANGELS CAMP PD,7,0,0,7
CALAVERAS COUNTY,CALAVERAS CO DA,3,0,0,3
CALAVERAS COUNTY,CALAVERAS CO SD,58,4,11,73
COLUSA COUNTY,COLUSA CO DISTRICT ATTORNEY,2,0,0,2
COLUSA COUNTY,COLUSA COUNTY SD,29,0,7,36
COLUSA COUNTY,COLUSA PD,9,1,0,10
COLUSA COUNTY,WILLIAMS PD,11,0,0,11
CONTRA COSTA COUNTY,ANTIOCH PD,90,0,17,107
CONTRA COSTA COUNTY,BRENTWOOD PD,66,0,17,83
CONTRA COSTA COUNTY,CLAYTON PD,11,0,0,11
CONTRA COSTA COUNTY,CONCORD PD,125,1,17,143
CONTRA COSTA COUNTY,CONTRA COSTA CCD PD,20,0,0,20
CONTRA COSTA COUNTY,CONTRA COSTA CO DA,31,0,0,31
CONTRA COSTA COUNTY,CONTRA COSTA CO SO/CORONER,620,29,50,699
CONTRA COSTA COUNTY,EL CERRITO PD,32,0,0,32
CONTRA COSTA COUNTY,HERCULES PD,25,1,0,26
CONTRA COSTA COUNTY,KENSINGTON PD,10,1,0,11
CONTRA COSTA COUNTY,MARTINEZ PD,30,2,8,40
CONTRA COSTA COUNTY,MORAGA PD,12,1,0,13
CONTRA COSTA COUNTY,OAKLEY PD,40,0,0,40
CONTRA COSTA COUNTY,PINOLE PD,24,0,13,37
CONTRA COSTA COUNTY,PITTSBURG PD,77,1,0,78
CONTRA COSTA COUNTY,PLEASANT HILL PD,41,0,12,53
CONTRA COSTA COUNTY,RICHMOND PD,113,2,13,128
CONTRA COSTA COUNTY,SAN PABLO PD,57,0,0,57
CONTRA COSTA COUNTY,SAN RAMON PD,68,0,0,68
CONTRA COSTA COUNTY,WALNUT CREEK PD,77,23,17,117
DEL NORTE COUNTY,CRESCENT CITY PD,12,1,0,13
DEL NORTE COUNTY,DEL NORTE CO DA,2,0,0,2
DEL NORTE COUNTY,DEL NORTE COUNTY SO,26,5,5,36
EL DORADO COUNTY,EL DORADO CO DA,13,0,0,13
EL DORADO COUNTY,EL DORADO CO SO,164,5,23,192
EL DORADO COUNTY,PLACERVILLE PD,18,1,5,24
EL DORADO COUNTY,SOUTH LAKE TAHOE PD,40,3,9,52
FRESNO COUNTY,CLOVIS PD,123,9,25,157
FRESNO COUNTY,CLOVIS UNIF SCHL DIST PD,16,0,0,16
FRESNO COUNTY,COALINGA PD,19,1,5,25
FRESNO COUNTY,CSU FRESNO DPS,25,0,7,32
FRESNO COUNTY,FIREBAUGH PD,12,4,0,16
FRESNO COUNTY,FOWLER PD,12,0,0,12
FRESNO COUNTY,FRESNO CO DA,48,0,0,48
FRESNO COUNTY,FRESNO CO SO,425,65,50,540
FRESNO COUNTY,FRESNO PD,858,2,119,979
FRESNO COUNTY,FRESNO YOSEMITE INT'L AIRPORT,19,0,0,19
FRESNO COUNTY,HURON PD,10,2,5,17
FRESNO COUNTY,KERMAN PD,25,4,0,29
FRESNO COUNTY,KINGSBURG PD,25,5,0,30
FRESNO COUNTY,MENDOTA PD,17,6,0,23
FRESNO COUNTY,ORANGE COVE PD,10,4,0,14
FRESNO COUNTY,PARLIER PD,19,0,0,19
FRESNO COUNTY,REEDLEY PD,30,2,10,42
FRESNO COUNTY,SANGER PD,33,0,0,33
FRESNO COUNTY,SELMA PD,36,0,11,47
FRESNO COUNTY,STATE CENTER CCD PD,25,0,7,32
GLENN COUNTY,GLENN CO DA,1,0,0,1
GLENN COUNTY,GLENN CO SO/CORONER,32,8,8,48
GLENN COUNTY,ORLAND PD,12,0,0,12
HUMBOLDT COUNTY,ARCATA PD,25,1,9,35
HUMBOLDT COUNTY,COLLEGE OF THE REDWOODS PD,3,0,0,3
HUMBOLDT COUNTY,CSU HUMBOLDT PD,6,2,6,14
HUMBOLDT COUNTY,EUREKA PD,39,2,9,50
HUMBOLDT COUNTY,FERNDALE PD,5,6,0,11
HUMBOLDT COUNTY,FORTUNA PD,15,0,6,21
HUMBOLDT COUNTY,HUMBOLDT CO DA,11,0,0,11
HUMBOLDT COUNTY,HUMBOLDT CO SO,167,11,11,189
HUMBOLDT COUNTY,HUMBOLDT DEPT WELFARE/INVEST,8,0,0,8
HUMBOLDT COUNTY,RIO DELL PD,4,1,0,5
IMPERIAL COUNTY,BRAWLEY PD,31,3,9,43
IMPERIAL COUNTY,CALEXICO PD,23,4,9,36
IMPERIAL COUNTY,CALIPATRIA PD,4,3,0,7
IMPERIAL COUNTY,EL CENTRO PD,46,1,9,56
IMPERIAL COUNTY,IMPERIAL CO DA,16,0,0,16
IMPERIAL COUNTY,IMPERIAL CO SO,101,13,14,128
IMPERIAL COUNTY,IMPERIAL PD,23,1,0,24
IMPERIAL COUNTY,WESTMORLAND PD,5,1,0,6
INYO COUNTY,BISHOP PD,12,1,3,16
INYO COUNTY,INYO CO DA,3,0,0,3
INYO COUNTY,INYO COUNTY SO,30,7,7,44
KERN COUNTY,ARVIN PD,20,2,6,28
KERN COUNTY,BAKERSFIELD PD,450,9,49,508
KERN COUNTY,BEAR VALLEY PD,5,0,0,5
KERN COUNTY,CALIFORNIA CITY PD,11,2,6,19
KERN COUNTY,CSU BAKERSFIELD DPS,14,0,6,20
KERN COUNTY,DELANO PD,47,2,9,58
KERN COUNTY,KERN CO DA,32,0,0,32
KERN COUNTY,KERN COUNTY SO,852,25,38,915
KERN COUNTY,KERN HIGH SCHOOL DISTRICT PD,30,0,4,34
KERN COUNTY,MCFARLAND PD,15,1,5,21
KERN COUNTY,RIDGECREST PD,28,3,7,38
KERN COUNTY,SHAFTER PD,30,0,11,41
KERN COUNTY,STALLION SPRINGS PD,3,2,0,5
KERN COUNTY,TAFT PD,12,1,5,18
KERN COUNTY,TEHACHAPI PD,19,2,7,28
KERN COUNTY,WASCO PD,20,2,9,31
KINGS COUNTY,AVENAL PD,19,1,0,20
KINGS COUNTY,CORCORAN PD,17,2,9,28
KINGS COUNTY,HANFORD PD,65,0,14,79
KINGS COUNTY,KINGS CO DA,13,0,0,13
KINGS COUNTY,KINGS CO SHERIFF'S OFFICE,194,4,16,214
KINGS COUNTY,"KINGS CO-HUMAN SVCS,WELFARE FD",3,0,0,3
KINGS COUNTY,LEMOORE PD,32,0,5,37
LAKE COUNTY,CLEARLAKE PD,22,0,7,29
LAKE COUNTY,LAKE CO DA,7,0,0,7
LAKE COUNTY,LAKE CO SO,86,0,7,93
LAKE COUNTY,LAKEPORT PD,10,1,0,11
LASSEN COUNTY,LASSEN CO DA,1,0,0,1
LASSEN COUNTY,LASSEN CO SO,42,5,10,57
LASSEN COUNTY,SUSANVILLE PD,17,0,0,17
LOS ANGELES COUNTY,ALHAMBRA PD,83,2,13,98
LOS ANGELES COUNTY,ARCADIA PD,65,5,7,77
LOS ANGELES COUNTY,AZUSA PD,51,2,9,62
LOS ANGELES COUNTY,BALDWIN PARK PD,62,0,9,71
LOS ANGELES COUNTY,BELL GARDENS PD,42,0,7,49
LOS ANGELES COUNTY,BELL PD,30,3,7,40
LOS ANGELES COUNTY,BEVERLY HILLS PD,133,4,16,153
LOS ANGELES COUNTY,BURBANK AIRPORT AUTH PD,38,0,0,38
LOS ANGELES COUNTY,BURBANK PD,146,11,14,171
LOS ANGELES COUNTY,CA DEPT INDUSTRIAL RELATIONS,3,0,0,3
LOS ANGELES COUNTY,CERRITOS COLLEGE POLICE,14,0,0,14
LOS ANGELES COUNTY,DEPARTMENT CLAREMONT PD,37,3,8,48
LOS ANGELES COUNTY,COMPTON CCD PD,9,0,2,11
LOS ANGELES COUNTY,COMPTON UNIF SCH DIST PD,9,0,0,9
LOS ANGELES COUNTY,COVINA PD,50,1,8,59
LOS ANGELES COUNTY,CSU DOMINGUEZ HILLS PD,17,0,7,24
LOS ANGELES COUNTY,CSU LONG BEACH PD,21,0,10,31
