Death Agency Number,URSUS Agency Name,Primary Name,Alternate URSUS Name,NCIC,ORI,Related County,Complaint Agency Name,gdrive_folder_name,Agency Website,CRP pra Agency name,MuckRock Agency ID,Agency Type (string),Post Name,Complaint Year,County,Complaint Type,Complaint Count,Alternate Name,resourceid,AGENCY_NAME
10000.0,,Alameda County Sheriff,,100,CA0010000,Alameda County,Alameda County Sheriff's Department,Alameda County Sheriff,"{""url"": ""https://www.alamedacountysheriff.org/"", ""url_label"": """"}",Alameda County Sheriff,409.0,Sheriff,ALAMEDA CO SD/CORONER,2016-01,Alameda,Gender Sustained,1,,9bceb0c5-559a-42b0-b942-72101c467d56,ALAMEDA SD
10100.0,,Alameda Police Department,,101,CA0010100,Alameda County,Alameda Police Department,Alameda Police Department,"{""url"": ""https://www.alamedaca.gov/Departments/Police-Department"", ""url_label"": """"}",Alameda Police Department,19069.0,Police Department,ALAMEDA PD,,Alameda,,,,d4c5d231-9f50-4c38-b93a-6c28502818f9,ALAMEDA PD
,,Alameda County District Attorney,,6301,CA001013A,Alameda County,Alameda County District Attorney,Alameda County District Attorney,"{""url"": ""https://le.alcoda.org/"", ""url_label"": """"}",Alameda County District Attorney,7895.0,District Attorney,ALAMEDA CO DA - INSPECTORS DIVISION,,Alameda,,,,1c86c693-cf29-4e67-acd0-ec564e2a0c24,ALAMEDA CO DISTRICT ATTORNEYS OFFICE
,,Alameda County Probation Department,,6801,CA001013G,Alameda County,Alameda County Probation Dept,Alameda County Probation Department,"{""url"": ""https://probation.acgov.org/index.page"", ""url_label"": """"}",Alameda County Probation Department,19495.0,Probation Department,,,Alameda,,,,fcfdbe47-24ca-4848-a30a-092f6979f240,ALAMEDA CO PROBATION DEPARTMENT
,,Albany Police Department,,102,CA0010200,Alameda County,Albany Police Department,Albany Police Department,"{""url"": ""https://www.albanyca.org/residents/public-safety/police-department"", ""url_label"": """"}",Albany Police Department,19094.0,Police Department,ALBANY PD,,Alameda,,,,b71cd51e-dacc-4fe0-8c7a-3b7c9d229620,ALBANY PD
,,Berkeley Police Department,,103,CA0010300,Alameda County,Berkeley Police Department,Berkeley Police Department,"{""url"": ""https://berkeleyca.gov/safety-health/police"", ""url_label"": """"}",Berkeley Police Department,624.0,Police Department,BERKELEY PD,,Alameda,,,,afc8bf9f-2b89-4672-bcd9-f4a26c10c1a3,BERKELEY PD
,,Emeryville Police Department,,104,CA0010400,Alameda County,Emeryville Police Department,Emeryville Police Department,"{""url"": ""https://www.ci.emeryville.ca.us/123/Police"", ""url_label"": """"}",Emeryville Police Department,5638.0,Police Department,EMERYVILLE PD,,Alameda,,,,33740c67-0f70-4519-ac5d-284c9fcbba48,EMERYVILLE PD
,,Fremont Police Department,,105,CA0010500,Alameda County,Fremont Police Department,Fremont Police Department,"{""url"": ""https://www.fremontpolice.gov/"", ""url_label"": """"}",Fremont Police Department,528.0,Police Department,FREMONT PD,,Alameda,,,,6844ba4a-1da0-4fdb-9d2a-eb8a746b61d0,FREMONT PD
,,Hayward Police Department,,106,CA0010600,Alameda County,Hayward Police Department,Hayward Police Department,"{""url"": ""https://www.hayward-ca.gov/police-department"", ""url_label"": """"}",Hayward Police Department,5650.0,Police Department,HAYWARD PD,,Alameda,,,,a2118388-2c69-4260-934c-1781aa3c4032,HAYWARD PD
,,Livermore Police Department,,107,CA0010700,Alameda County,Livermore Police Department,Livermore Police Department,"{""url"": ""https://police.livermoreca.gov/contact"", ""url_label"": """"}",Livermore Police Department,12041.0,Police Department,LIVERMORE PD,,Alameda,,,,b6067579-7324-4bcc-9c6d-30411a1724a4,LIVERMORE PD
,,Newark Police Department,,108,CA0010800,Alameda County,Newark Police Department,Newark Police Department,"{""url"": ""https://www.newarkpublicsafety.org/"", ""url_label"": """"}",Newark Police Department,8731.0,Police Department,NEWARK PD,,Alameda,,,,8a35204b-d5fa-4411-a3bf-3af7395f60d0,NEWARK PD
,,Oakland Police Department,,109,CA0010900,Alameda County,Oakland Police Department,Oakland Police Department,"{""url"": ""https://www.oaklandca.gov/departments/police"", ""url_label"": """"}",Oakland Police Department,369.0,Police Department,OAKLAND PD,"2023-01, 2021-01",Alameda,"Race Ethnicity Sustained, Gender Sustained","1, 1",,b955b38a-18d7-4284-8d28-479d622b189f,OAKLAND PD
,,Piedmont Police Department,,110,CA0011000,Alameda County,Piedmont Police Department,Piedmont Police Department,"{""url"": ""https://piedmont.ca.gov/services___departments/police"", ""url_label"": """"}",Piedmont Police Department,16061.0,Police Department,PIEDMONT PD,,Alameda,,,,69914430-2a87-4053-beb2-aa056bc5f4c5,PIEDMONT PD
,,Pleasanton Police Department,,111,CA0011100,Alameda County,Pleasanton Police Department,Pleasanton Police Department,"{""url"": ""https://www.cityofpleasantonca.gov/our-government/police/"", ""url_label"": """"}",Pleasanton Police Department,12146.0,Police Department,PLEASANTON PD,,Alameda,,,,c2c07523-2a2f-4f5f-aef3-6d78e6676769,PLEASANTON PD
,,San Leandro Police Department,,112,CA0011200,Alameda County,San Leandro Police Department,San Leandro Police Department,"{""url"": ""https://www.sanleandro.org/157/Police"", ""url_label"": """"}",San Leandro Police Department,5683.0,Police Department,SAN LEANDRO PD,,Alameda,,,,e706a107-f648-4bb7-b30a-b8de6e2bb461,SAN LEANDRO PD
,,Union City Police Department,,113,CA0011300,Alameda County,Union City Police Department,Union City Police Department,"{""url"": ""https://www.unioncity.org/677/Police"", ""url_label"": """"}",Union City Police Department,12235.0,Police Department,UNION CITY PD,,Alameda,,,,bf48031f-60c0-41fe-8065-e712c9ad702d,UNION CITY PD
,,East Bay Regional Parks Police Department,,114,CA0011400,Contra Costa County,East Bay Regional Park Dist. PD,East Bay Regional Parks Police Department,"{""url"": ""https://www.ebparks.org/public-safety/police"", ""url_label"": """"}",East Bay Regional Parks Police Department,19093.0,Other,EAST BAY REG PARK DPS,,Contra Costa,,,,44d74b3d-ffce-40ab-8304-787310b62a4f,EAST BAY REGNL PARK DIST PD
,,"CSU East Bay, University Police",,115,CA0011500,Alameda County,"CSU East Bay, University Police",Cal State East Bay University Police Department,"{""url"": ""https://www.csueastbay.edu/upd/"", ""url_label"": """"}",CSU East Bay Police Department,19932.0,CSU,CSU EAST BAY PD,,Alameda,,,,edb83d95-543e-4d01-98b9-abdbd3212762,CSU EAST BAY
,,Bay Area Rapid Transit Police,,718,CA0012100,"Alameda County, Contra Costa County, San Francisco County, San Mateo County",Bay Area Rapit Transit,Bay Area Rapid Transit (BART) Police Department,"{""url"": ""https://www.bart.gov/about/police"", ""url_label"": """"}",Bay Area Rapid Transit (BART) Police Department,4634.0,Police Department,BAY AREA RAPID TRANSIT PD,,"Alameda, Contra Costa, San Francisco, San Mateo",,,,4da05901-8fe8-46d4-a6bc-438c745823ba,BART-ALAMEDA CO
