agency,facility,CDCR_facility,death_agency_full_name,death_agency_number,State_Agency,CntyCode,County,Code,Start,End
California Department of Alcoholic Beverage Control (ABC),ABC Bakersfield,,,,ABC Bakersfield,15,Kern County,151A,1/1/2003,12/31/2003
California Department of Alcoholic Beverage Control (ABC),ABC El Monte,,,,ABC El Monte,19,Los Angeles County,19B2,1/1/2003,12/31/2003
California Department of Alcoholic Beverage Control (ABC),ABC Eureka,,,,ABC Eureka,12,Humboldt County,121A,1/1/2003,12/31/2003
California Department of Alcoholic Beverage Control (ABC),ABC Fresno,,,,ABC Fresno,10,Fresno County,101A,1/1/2003,12/31/2003
California Department of Alcoholic Beverage Control (ABC),ABC Inglewood,,,,ABC Inglewood,19,Los Angeles County,19B3,1/1/2003,12/31/2003
California Department of Alcoholic Beverage Control (ABC),ABC Lakewood,,,,ABC Lakewood,19,Los Angeles County,19B4,1/1/2003,12/31/2003
California Department of Alcoholic Beverage Control (ABC),ABC Metro,,,,ABC Metro,19,Los Angeles County,19B5,1/1/2003,12/31/2003
California Department of Alcoholic Beverage Control (ABC),ABC Northern,,,,ABC Northern,34,Sacramento County,3430,1/1/2002,12/31/2003
California Department of Alcoholic Beverage Control (ABC),ABC Oakland,,,,ABC Oakland,1,Alameda County,011A,1/1/2003,12/31/2003
California Department of Alcoholic Beverage Control (ABC),ABC Rancho Mirage,,,,ABC Rancho Mirage,33,Riverside County,331A,1/1/2003,12/31/2003
California Department of Alcoholic Beverage Control (ABC),ABC Redding,,,,ABC Redding,45,Shasta County,451A,1/1/2003,12/31/2003
California Department of Alcoholic Beverage Control (ABC),ABC Riverside,,,,ABC Riverside,33,Riverside County,332A,1/1/2003,12/31/2003
California Department of Alcoholic Beverage Control (ABC),ABC Sacramento,,,,ABC Sacramento,34,Sacramento County,342A,1/1/2003,12/31/2003
California Department of Alcoholic Beverage Control (ABC),ABC Salinas,,,,ABC Salinas,27,Monterey County,271A,1/1/2003,12/31/2003
California Department of Alcoholic Beverage Control (ABC),ABC San Diego,,,,ABC San Diego,37,San Diego County,371A,1/1/2003,12/31/2003
California Department of Alcoholic Beverage Control (ABC),ABC San Francisco,,,,ABC San Francisco,38,San Francisco County,381A,1/1/2003,12/31/2003
