County,Agency,Sworn,Reserve,Dispatcher,Total,Year,Snapshot,SourceFile,Full-Time Sworn
ALAMEDA COUNTY,ALAMEDA COUNTY SD/CORONER,949.0,23,32,1004,2013,Jan,01-2013_clean.csv,
ALAMEDA COUNTY,ALAMEDA PD,82.0,0,14,96,2013,Jan,01-2013_clean.csv,
ALAMEDA COUNTY,ALAMEDA/CONTRA COSTA TRANSIT,1.0,0,0,1,2013,Jan,01-2013_clean.csv,
ALAMEDA COUNTY,ALBANY PD,23.0,3,6,32,2013,Jan,01-2013_clean.csv,
ALAMEDA COUNTY,BAY AREA RAPID TRANSIT PD,186.0,0,17,203,2013,Jan,01-2013_clean.csv,
ALAMEDA COUNTY,BERKELEY PD,168.0,20,29,217,2013,Jan,01-2013_clean.csv,
ALAMEDA COUNTY,CSU EAST BAY PD,14.0,0,6,20,2013,Jan,01-2013_clean.csv,
ALAMEDA COUNTY,EAST BAY REG PARK DPS,55.0,3,15,73,2013,Jan,01-2013_clean.csv,
ALAMEDA COUNTY,EMERYVILLE PD,36.0,0,15,51,2013,Jan,01-2013_clean.csv,
ALAMEDA COUNTY,FREMONT PD,176.0,10,27,213,2013,Jan,01-2013_clean.csv,
ALAMEDA COUNTY,HAYWARD PD,176.0,26,29,231,2013,Jan,01-2013_clean.csv,
ALAMEDA COUNTY,LIVERMORE PD,83.0,7,21,111,2013,Jan,01-2013_clean.csv,
ALAMEDA COUNTY,MORAGA PD,12.0,4,0,16,2013,Jan,01-2013_clean.csv,
ALAMEDA COUNTY,NEWARK PD,56.0,3,12,71,2013,Jan,01-2013_clean.csv,
ALAMEDA COUNTY,OAKLAND CITY HOUSING AUTH PD,36.0,4,0,40,2013,Jan,01-2013_clean.csv,
ALAMEDA COUNTY,OAKLAND PD,626.0,12,70,708,2013,Jan,01-2013_clean.csv,
ALAMEDA COUNTY,OAKLAND USD PD,14.0,0,0,14,2013,Jan,01-2013_clean.csv,
ALAMEDA COUNTY,OHLONE CCD PD,2.0,0,0,2,2013,Jan,01-2013_clean.csv,
