NCIC,ORI,Primary Name,Alternate URSUS Name,URSUS Agency Name,County
nan,,Alameda County Coroner's Bureau,,,Alameda
6301,CA001013A,Alameda County District Attorney,,,Alameda
6801,CA001013G,Alameda County Probation Department,,,Alameda
100,CA0010000,Alameda County Sheriff,,,Alameda
101,CA0010100,Alameda Police Department,,,Alameda
102,CA0010200,Albany Police Department,,,Alameda
103,CA0010300,Berkeley Police Department,,,Alameda
115,CA0011500,"CSU East Bay, University Police",,,Alameda
104,CA0010400,Emeryville Police Department,,,Alameda
105,CA0010500,Fremont Police Department,,,Alameda
106,CA0010600,Hayward Police Department,,,Alameda
nan,,Lawrence Berkeley National Laboratory,,,Alameda
107,CA0010700,Livermore Police Department,,,Alameda
108,CA0010800,Newark Police Department,,,Alameda
7661,CA0013300,Oakland Housing Authority Police Department,,,Alameda
nan,,Oakland Park Rangers,,,Alameda
109,CA0010900,Oakland Police Department,,,Alameda
6646,,Oakland Unified School District Police Department,,,Alameda
6604,,Ohlone Community College Police Department,,,Alameda
110,CA0011000,Piedmont Police Department,,,Alameda
111,CA0011100,Pleasanton Police Department,,,Alameda
112,CA0011200,San Leandro Police Department,,,Alameda
113,CA0011300,Union City Police Department,,,Alameda
197,CA0019700,UC Berkeley Police Department,,,Alameda 
nan,,Alameda Contra Costa Transit Police Department,,,"Alameda, Contra Costa"
718,CA0012100,Bay Area Rapid Transit Police,,,"Alameda, Contra Costa, San Francisco, San Mateo"
200,CA0020000,Alpine County Sheriff,,,Alpine
6303,CA003013A,Amador County District Attorney,,,Amador
300,CA0030000,Amador County Sheriff,,,Amador
302,CA0030200,Ione Police Department,,,Amador
303,CA0030300,Jackson Police Department,,,Amador
nan,,Plymouth Police Department,,,Amador
305,CA0030500,Sutter Creek Police Department,,,Amador
nan,,Biggs Police Department,,,Butte
6614,CA0041100,Butte Community College Police Department,,,Butte
6304,CA004013A,Butte County District Attorney,,,Butte
6804,CA004013G,Butte County Probation Department,,,Butte
400,CA0040000,Butte County Sheriff,,,Butte
497,CA0049700,CSU Chico Police Department,,,Butte
402,CA0040200,Chico Police Department,,,Butte
403,CA0040300,Gridley-Biggs Police Department,,,Butte
404,CA0040400,Oroville Police Department,,,Butte
405,CA0040500,Paradise Police Department,,,Butte
501,CA0050100,Angels Camp Police Department,,,Calaveras
nan,,Calaveras County Coroner's Office,,,Calaveras
6305,CA005013A,Calaveras County District Attorney,,,Calaveras
500,CA0050000,Calaveras County Sheriff,,,Calaveras
6306,CA006013A,Colusa County District Attorney,,,Colusa
600,CA0060000,Colusa County Sheriff,,,Colusa
601,CA0060100,Colusa Police Department,,,Colusa
602,CA0060200,Williams Police Department,,,Colusa
701,CA0070100,Antioch Police Department,,,Contra Costa
702,CA0070200,Brentwood Police Department,,,Contra Costa
